index,HCM2_not under investigation,HCM2_under investigation,main_Main campus,main_branch,HIGHDEG_Associate degree,HIGHDEG_Bachelor&#39;s degree,HIGHDEG_Certificate degree,HIGHDEG_Graduate degree,HIGHDEG_Non-degree-granting,CONTROL_Private Non Profit,CONTROL_Private for profit,CONTROL_Public,region_Far West,region_Great Lakes,region_Mid East,region_New England,region_Outlying Areas,region_Plains,region_Rocky Mountains,region_Southeast,region_Southwest,region_U.S,CURROPER_closed,CURROPER_operating
count,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0,2232.0
mean,0.9995519713261649,0.00044802867383512545,0.07347670250896057,0.9265232974910395,0.19578853046594982,0.14381720430107528,0.3163082437275986,0.12813620071684587,0.21594982078853048,0.11648745519713262,0.8019713261648745,0.08154121863799284,0.1442652329749104,0.16980286738351255,0.11738351254480286,0.042114695340501794,0.0228494623655914,0.07840501792114696,0.036738351254480286,0.2585125448028674,0.12992831541218638,0.0,0.16218637992831542,0.8378136200716846
std,0.02116668783336508,0.021166687833365082,0.26097584411121455,0.2609758441112145,0.39689539925523026,0.35098291732803477,0.465138980945418,0.33431630199276613,0.4115718502142815,0.32088044334176025,0.3986031898861239,0.2737258066305532,0.3514372073424385,0.37554365985585897,0.3219488502470152,0.20089581833450598,0.14945692429073607,0.2688681072668232,0.18816085415388026,0.4379152056266434,0.33629989480031214,0.0,0.36870430482341254,0.36870430482341254
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
