index,HCM2_not under investigation,HCM2_under investigation,main_Main campus,main_branch,HIGHDEG_Associate degree,HIGHDEG_Bachelor&#39;s degree,HIGHDEG_Certificate degree,HIGHDEG_Graduate degree,HIGHDEG_Non-degree-granting,CONTROL_Private Non Profit,CONTROL_Private for profit,CONTROL_Public,region_Far West,region_Great Lakes,region_Mid East,region_New England,region_Outlying Areas,region_Plains,region_Rocky Mountains,region_Southeast,region_Southwest,region_U.S,CURROPER_closed,CURROPER_operating
count,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0,1707.0
mean,1.0,0.0,1.0,0.0,0.04452255418863503,0.210896309314587,0.06502636203866433,0.6608084358523726,0.018746338605741066,0.9900410076157,0.0017574692442882249,0.008201523140011716,0.12126537785588752,0.1616871704745167,0.22612770943175162,0.09548916227299356,0.018746338605741066,0.1054481546572935,0.01757469244288225,0.20210896309314588,0.051552431165787935,0.0,0.0005858230814294083,0.9994141769185706
std,0.0,0.0,0.0,0.0,0.20631343158543478,0.4080644621905965,0.24664462692156502,0.4735736803189247,0.1356675933157729,0.09932567817803074,0.041897600231965766,0.09021655162771752,0.32653108265361164,0.3682714772804587,0.41844538957418015,0.29397552608207,0.1356675933157729,0.30722000869203014,0.13143798261820724,0.4016907465712011,0.2211864337751588,0.0,0.024203782378574807,0.024203782378574807
min,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
max,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
