index,HCM2_not under investigation,HCM2_under investigation,main_Main campus,main_branch,HIGHDEG_Associate degree,HIGHDEG_Bachelor&#39;s degree,HIGHDEG_Certificate degree,HIGHDEG_Graduate degree,HIGHDEG_Non-degree-granting,CONTROL_Private Non Profit,CONTROL_Private for profit,CONTROL_Public,region_Far West,region_Great Lakes,region_Mid East,region_New England,region_Outlying Areas,region_Plains,region_Rocky Mountains,region_Southeast,region_Southwest,region_U.S,CURROPER_closed,CURROPER_operating
count,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0
mean,0.9658976930792377,0.034102306920762285,0.9974924774322969,0.0025075225677031092,0.1534603811434303,0.05717151454363089,0.7266800401203611,0.06018054162487462,0.0025075225677031092,0.009528585757271816,0.9874623871614845,0.003009027081243731,0.1715145436308927,0.1374122367101304,0.14794383149448345,0.04513540621865597,0.027582748244734202,0.07372116349047142,0.05616850551654965,0.2296890672016048,0.11083249749247744,0.0,0.0,1.0
std,0.1815375087951316,0.1815375087951316,0.05002489288603876,0.05002489288603876,0.3605211170660216,0.2322282898272719,0.445775522308945,0.23788069022567887,0.05002489288603876,0.0971726673545019,0.11129525171907288,0.05478574716181704,0.3770525204134602,0.3443683886852159,0.35513336060968204,0.20765313893979767,0.16381513457974708,0.2613821276248556,0.2303045905024387,0.42073837040134626,0.3140033477296543,0.0,0.0,0.0
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
